"Mark","Company","Symbol","Category","LTP","Change %","5 Days %","10 Days %","15 Days %","20 Days %","1 Month %","2 Month %","3 Month %","Week 52 Low %","Week 52 High %",
"Yes","LIC Housing Finance Ltd.","LICHSGFIN","FINANCIAL SERVICES","720.80","0.61%","2.19%","1.34%","1.73%","1.23%","15.10%","26.66%","29.83%","67.20%","(0.92)%",
"No","Escorts Ltd.","ESCORTS","AUTOMOBILE","595.00","4.62%","2.15%","0.92%","0.45%","0.41%","14.23%","20.70%","51.17%","265.93%","(0.10)%",
"No","Karnataka Bank Ltd.","KTKBANK","BANK","166.65","(3.00)%","2.10%","2.02%","1.40%","0.92%","15.17%","22.04%","37.39%","93.19%","(5.42)%",
"No","Gruh Finance Ltd.","GRUH","FINANCIAL SERVICES","419.00","0.64%","2.06%","1.18%","0.65%","0.81%","10.85%","15.11%","16.71%","70.33%","(4.49)%",
"No","V-Guard Industries Ltd.","VGUARD","INDUSTRIAL MANUFACTURING","205.50","1.23%","2.06%","1.07%","1.07%","0.81%","12.76%","(17.80)%","(5.34)%","202.43%","(3.45)%",
"No","Sunteck Realty Ltd.","SUNTECK","CONSTRUCTION","463.20","(1.76)%","2.05%","1.51%","1.58%","1.27%","14.92%","63.04%","90.23%","165.29%","(3.66)%",
"No","Central Bank of India","CENTRALBK","BANK","110.05","(0.36)%","2.01%","1.26%","0.63%","0.26%","8.00%","20.21%","19.30%","47.52%","(5.86)%",
"No","E.I.D. Parry (India) Ltd.","EIDPARRY","FERTILISERS & PESTICIDES","326.00","2.81%","2.00%","0.40%","0.24%","0.88%","17.52%","14.39%","10.81%","49.85%","(1.78)%",
"No","Vijaya Bank","VIJAYABANK","BANK","82.80","(1.43)%","1.99%","2.49%","3.12%","1.69%","22.76%","27.98%","28.17%","179.73%","(3.72)%",
"Yes","Cummins India Ltd.","CUMMINSIND","INDUSTRIAL MANUFACTURING","1,033.70","(2.54)%","1.93%","1.32%","1.45%","0.74%","6.82%","19.36%","14.56%","38.54%","(5.75)%",
"No","Mahindra CIE Automotive Ltd.","MAHINDCIE","INDUSTRIAL MANUFACTURING","244.00","(3.21)%","1.92%","2.51%","0.90%","0.67%","11.93%","22.00%","25.64%","44.94%","(5.06)%",
"No","Dilip Buildcon Ltd.","DBL","CONSTRUCTION","460.10","7.69%","1.84%","(0.17)%","1.37%","1.77%","30.34%","43.78%","75.28%","158.63%","(3.12)%",
"No","BASF India Ltd.","BASF","CHEMICALS","1,360.00","(1.12)%","1.83%","0.43%","0.42%","0.05%","5.93%","11.93%","16.54%","48.31%","(2.75)%",
"No","IDBI Bank Ltd.","IDBI","BANK","78.35","(3.69)%","1.83%","1.62%","1.50%","0.39%","4.47%","0.84%","(4.10)%","24.86%","(9.32)%",
"No","Sundram Fasteners Ltd.","SUNDRMFAST","AUTOMOBILE","406.00","(2.50)%","1.76%","0.70%","0.37%","(0.03)%","0.89%","14.37%","19.41%","158.93%","(4.90)%",
"No","Hexaware Technologies Ltd.","HEXAWARE","IT","237.95","(0.56)%","1.72%","1.49%","2.18%","1.73%","11.92%","5.43%","21.16%","33.72%","(1.63)%",
"No","Dalmia Bharat Ltd.","DALMIABHA","CEMENT & CEMENT PRODUCTS","2,263.60","1.10%","1.72%","1.33%","0.98%","0.30%","4.55%","19.41%","18.20%","186.51%","(4.85)%",
"No","Somany Ceramics Ltd.","SOMANYCERA","CONSTRUCTION","754.00","(3.48)%","1.71%","0.91%","1.91%","1.36%","10.88%","18.00%","22.01%","85.49%","(5.40)%",
"Yes","Raymond Ltd.","RAYMOND","TEXTILES","760.00","(1.52)%","1.71%","(0.06)%","0.62%","2.41%","17.25%","16.82%","51.68%","91.07%","(5.86)%",
"Yes","Emami Ltd.","EMAMILTD","CONSUMER GOODS","1,086.00","(2.65)%","1.67%","1.48%","0.90%","0.38%","5.22%","4.45%","(1.72)%","16.10%","(13.81)%",
"No","Zensar Technolgies Ltd.","ZENSARTECH","IT","887.60","(0.01)%","1.66%","(0.85)%","(0.60)%","(0.54)%","(4.25)%","(3.47)%","(1.20)%","8.89%","(21.87)%",
"No","JK Lakshmi Cement Ltd.","JKLAKSHMI","CEMENT & CEMENT PRODUCTS","487.00","(0.70)%","1.63%","(0.55)%","0.57%","0.75%","7.93%","19.11%","24.23%","47.89%","(5.07)%",
"No","Gujarat Narmada Valley Fertilizers and Chemicals Ltd.","GNFC","CHEMICALS","313.00","(2.03)%","1.62%","1.58%","1.11%","1.18%","16.47%","21.48%","23.72%","180.72%","(3.01)%",
"No","UCO Bank","UCOBANK","BANK","41.50","(5.03)%","1.60%","1.90%","2.02%","1.20%","11.56%","13.85%","12.01%","54.85%","(10.75)%",
"No","V.I.P. Industries Ltd.","VIPIND","CONSUMER GOODS","202.00","(2.25)%","1.60%","0.54%","0.82%","0.69%","0.35%","33.25%","48.91%","96.12%","(6.91)%",
"Yes","Cadila Healthcare Ltd.","CADILAHC","PHARMA","464.00","1.35%","1.56%","(0.26)%","0.27%","0.10%","2.07%","5.94%","26.74%","52.13%","(2.32)%",
"No","JM Financial Ltd.","JMFINANCIL","FINANCIAL SERVICES","119.10","(0.50)%","1.55%","0.93%","2.03%","2.13%","26.90%","46.22%","57.12%","191.55%","(4.26)%",
"No","Amtek Auto Ltd.","AMTEKAUTO","AUTOMOBILE","38.05","(3.06)%","1.55%","3.86%","2.45%","1.43%","13.24%","5.84%","(2.31)%","22.74%","(32.36)%",
"No","K.P.R. Mill Ltd.","KPRMILL","TEXTILES","735.00","(0.92)%","1.52%","0.90%","0.67%","0.62%","7.69%","15.49%","19.58%","70.93%","(4.27)%",
"Yes","Adani Ports and Special Economic Zone Ltd.","ADANIPORTS","SERVICES","344.20","1.40%","1.52%","0.37%","0.16%","0.45%","(1.11)%","11.39%","13.28%","102.83%","(4.19)%",
"Yes","Oracle Financial Services Software Ltd.","OFSS","IT","3,694.95","(1.27)%","1.46%","0.26%","0.34%","(0.66)%","(3.27)%","(1.73)%","1.90%","31.57%","(9.61)%",
"Yes","Bank of India","BANKINDIA","BANK","182.80","(4.94)%","1.45%","4.52%","3.64%","2.46%","29.83%","45.14%","37.34%","133.16%","(7.30)%",
"No","DCM Shriram Ltd.","DCMSHRIRAM","CONSUMER GOODS","364.35","(2.68)%","1.42%","1.83%","2.29%","1.47%","12.45%","32.73%","27.89%","142.09%","(7.29)%",
"No","Gillette India Ltd.","GILLETTE","CONSUMER GOODS","4,400.00","(1.04)%","1.40%","1.26%","0.67%","0.44%","5.49%","7.55%","5.54%","9.39%","(10.17)%",
"Yes","State Bank of India","SBIN","BANK","295.95","(1.04)%","1.39%","0.55%","0.40%","(0.27)%","2.65%","10.55%","6.61%","77.85%","(2.94)%",
"No","Century Textile & Industries Ltd.","CENTURYTEX","CEMENT & CEMENT PRODUCTS","1,138.50","(1.76)%","1.33%","0.04%","0.21%","0.72%","6.32%","21.42%","26.79%","96.29%","(3.51)%",
"No","Tube Investments of India Ltd.","TUBEINVEST","AUTOMOBILE","698.00","(0.40)%","1.32%","(0.12)%","(0.02)%","(0.13)%","9.83%","11.68%","15.09%","67.75%","(4.34)%",
"No","Trident Ltd.","TRIDENT","TEXTILES","86.50","0.35%","1.32%","0.10%","0.60%","0.43%","6.07%","12.70%","22.18%","105.95%","(4.26)%",
"No","Arvind Ltd.","ARVIND","TEXTILES","408.15","(2.54)%","1.31%","0.27%","0.76%","0.54%","2.94%","3.30%","10.53%","50.03%","(4.29)%",
"No","KNR Constructions Ltd.","KNRCON","CONSTRUCTION","204.00","(0.10)%","1.24%","1.56%","(0.25)%","0.05%","3.55%","13.33%","9.09%","102.76%","(3.32)%",
"No","Techno Elt & Eng Co. Ltd.","TECHNO","CONSTRUCTION","398.30","(1.19)%","1.24%","0.45%","0.92%","0.42%","1.87%","7.65%","9.12%","64.25%","(4.00)%",
"No","Magma Fincorp Ltd.","MAGMA","FINANCIAL SERVICES","117.65","(4.78)%","1.21%","(0.09)%","0.64%","(0.04)%","(2.77)%","20.05%","13.13%","37.60%","(8.51)%",
"No","Aditya Birla Nuvo Ltd.","ABIRLANUVO","SERVICES","1,709.05","(1.65)%","1.19%","(0.17)%","0.86%","1.48%","12.32%","16.66%","21.98%","104.05%","(2.05)%",
"Yes","Grasim Industries Ltd.","GRASIM","CEMENT & CEMENT PRODUCTS","1,194.00","(0.79)%","1.19%","(0.20)%","0.91%","1.59%","13.04%","18.68%","25.75%","52.70%","(1.97)%",
"No","Gujarat Fluorochemicals Ltd.","GUJFLUORO","CHEMICALS","760.00","(3.07)%","1.18%","2.07%","0.92%","0.72%","4.22%","44.49%","60.00%","74.31%","(6.86)%",
"Yes","Bank of Baroda","BANKBARODA","BANK","187.50","(4.21)%","1.17%","1.18%","1.18%","0.93%","11.28%","16.93%","0.56%","46.20%","(7.41)%",
"No","DCB Bank Ltd.","DCBBANK","BANK","191.00","(0.96)%","1.14%","1.32%","0.98%","0.92%","13.96%","23.46%","41.59%","118.04%","(4.74)%",
"No","NIIT Technologies Ltd.","NIITTECH","IT","469.95","(1.88)%","1.11%","2.22%","1.84%","0.94%","5.84%","12.44%","11.63%","28.21%","(19.94)%",
"Yes","Rural Electrification Corporation Ltd.","RECLTD","FINANCIAL SERVICES","212.75","0.47%","1.11%","0.58%","0.95%","0.29%","15.31%","36.51%","50.67%","178.47%","(2.56)%",
"No","City Union Bank Ltd.","CUB","BANK","167.40","1.73%","1.08%","1.76%","1.97%","1.12%","9.20%","18.93%","2.89%","77.14%","(1.65)%",
"No","Kansai Nerolac Paints Ltd.","KANSAINER","CONSUMER GOODS","403.00","1.08%","1.07%","1.26%","0.55%","0.38%","3.60%","11.94%","11.96%","41.38%","(0.97)%",
"Yes","UltraTech Cement Ltd.","ULTRACEMCO","CEMENT & CEMENT PRODUCTS","4,329.00","0.11%","1.06%","0.83%","1.58%","0.77%","6.13%","13.54%","17.08%","41.93%","(0.60)%",
"Yes","Bosch Ltd.","BOSCHLTD","AUTOMOBILE","23,450.00","1.08%","1.05%","0.74%","0.47%","(0.08)%","2.85%","9.99%","4.51%","32.70%","(8.65)%",
"No","Tata Coffee Ltd.","TATACOFFEE","CONSUMER GOODS","129.80","2.89%","1.05%","0.69%","0.04%","(0.01)%","2.98%","5.70%","4.76%","52.35%","(13.47)%",
"No","Honeywell Automation India Ltd.","HONAUT","INDUSTRIAL MANUFACTURING","11,349.50","0.45%","1.04%","0.61%","0.84%","0.30%","4.12%","15.81%","13.38%","49.77%","(0.43)%",
"Yes","Prestige Estates Projects Ltd.","PRESTIGE","CONSTRUCTION","244.50","(2.22)%","1.04%","(2.09)%","0.39%","1.46%","11.19%","42.57%","42.65%","69.79%","(13.60)%",
"Yes","Pidilite Industries Ltd.","PIDILITIND","CHEMICALS","743.95","0.70%","1.03%","0.29%","0.40%","0.35%","5.37%","10.54%","10.21%","31.03%","(3.30)%",
"No","Ruchi Soya Industries Ltd.","RUCHISOYA","CONSUMER GOODS","26.00","(2.07)%","1.00%","(0.50)%","0.42%","0.20%","(0.76)%","(9.88)%","1.17%","46.07%","(18.24)%",
"No","Godrej Industries Ltd.","GODREJIND","CONSUMER GOODS","543.50","(2.58)%","0.99%","0.90%","0.88%","0.19%","2.55%","13.23%","7.20%","62.72%","(5.97)%",
"Yes","Asian Paints Ltd.","ASIANPAINT","CONSUMER GOODS","1,146.00","1.18%","0.97%","0.81%","1.22%","0.73%","6.62%","12.02%","14.93%","34.65%","(6.62)%",
"No","Redington (India) Ltd.","REDINGTON","SERVICES","128.60","(3.67)%","0.96%","0.45%","0.87%","1.73%","13.15%","19.41%","26.57%","56.73%","(6.71)%",
"No","J.K. Cement Ltd.","JKCEMENT","CEMENT & CEMENT PRODUCTS","998.95","0.35%","0.96%","0.63%","1.06%","0.84%","7.62%","16.11%","27.25%","79.99%","(0.95)%",
"Yes","Siemens Ltd.","SIEMENS","INDUSTRIAL MANUFACTURING","1,345.00","(2.09)%","0.93%","0.33%","0.68%","0.40%","3.20%","11.16%","9.21%","32.91%","(2.43)%",
"No","Titan Company Ltd.","TITAN","CONSUMER GOODS","489.95","(0.55)%","0.93%","0.15%","0.34%","0.04%","0.94%","11.58%","24.32%","65.44%","(2.94)%",
"Yes","Steel Authority of India Ltd.","SAIL","METALS","59.80","(2.76)%","0.92%","(0.06)%","(0.15)%","(0.75)%","(9.80)%","(1.16)%","(9.94)%","55.53%","(12.83)%",
"Yes","Godrej Consumer Products Ltd.","GODREJCP","CONSUMER GOODS","1,762.20","(2.38)%","0.90%","1.05%","1.16%","0.84%","3.63%","7.78%","11.62%","38.52%","(4.23)%",
"Yes","APL Apollo Tubes Ltd.","APLAPOLLO","METALS","1,504.90","1.30%","0.88%","2.66%","3.43%","2.65%","24.49%","36.94%","33.89%","91.71%","",
"Yes","Voltas Ltd.","VOLTAS","CONSTRUCTION","422.00","(0.87)%","0.87%","0.04%","(0.03)%","0.34%","2.93%","9.48%","27.19%","46.96%","(1.63)%",
"No","L&T Technology Services Ltd.","LTTS","IT","773.00","(0.97)%","0.87%","1.36%","0.70%","(0.24)%","(2.77)%","(0.13)%","(3.24)%","6.04%","(17.01)%",
"No","Polaris Consulting & Services Ltd.","POLARIS","IT","208.00","(2.03)%","0.87%","(1.28)%","(1.13)%","0.76%","14.29%","17.51%","32.11%","47.57%","(10.27)%",
